Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,30.0,30.0,30.4,28.2,28.2,
Albania,12.7,13.8,13.8,13.4,13.4,13.4,12.2,10.0,10.9
Algeria,,,,,,,,20.1,19.7
Angola,38.8,,43.6,43.6,36.6,36.6,32.4,32.3,31.7
Argentina,19.0,18.7,18.7,15.3,14.6,15.2,14.0,13.8,13.6
Armenia,10.9,10.7,10.8,10.2,10.1,9.2,8.6,9.8,9.7
Australia,7.7,7.7,7.7,7.5,7.9,8.0,8.3,8.0,7.9
Austria,7.3,7.2,6.5,7.1,7.6,8.5,7.4,7.8,7.5
Azerbaijan,13.4,11.1,11.1,11.5,13.0,13.0,10.1,9.9,9.3
Bahamas,14.0,14.4,,14.0,,,,,
Bangladesh,28.3,26.8,26.8,28.7,29.0,28.6,27.6,23.4,23.6
Barbados,,,,,,,,15.4,16.0
Belarus,9.3,8.3,8.3,7.6,7.1,6.4,6.5,6.5,6.3
Belgium,8.3,7.5,8.0,8.5,7.9,8.3,8.8,8.7,7.6
Belize,26.9,,,,21.7,21.8,21.3,21.3,21.6
Benin,34.3,35.3,35.3,34.2,37.1,37.1,36.4,36.3,36.9
Bhutan,,,19.8,20.2,28.9,28.4,27.4,26.4,26.2
Bolivia (Plurinational State of),36.7,33.3,33.4,29.4,28.4,28.7,26.4,25.7,24.1
Bosnia and Herzegovina,19.9,11.4,11.3,10.4,13.1,13.1,12.9,15.3,14.2
Botswana,,,,36.5,36.5,36.2,35.4,,
Brazil,26.6,26.9,26.5,26.3,25.6,24.9,23.6,23.2,23.8
Bulgaria,11.2,11.2,9.8,10.8,10.4,10.5,11.7,12.3,12.1
Burkina Faso,35.7,34.8,33.8,34.6,34.6,33.3,30.6,31.8,29.5
Burundi,36.3,,,32.6,31.5,30.6,29.7,32.8,29.6
Cabo Verde,,,,19.4,19.4,19.9,21.4,,
Cambodia,28.6,27.1,25.8,24.6,24.6,22.4,19.2,19.2,19.9
Cameroon,33.2,32.7,32.7,32.4,32.4,32.4,30.5,34.2,34.1
Canada,8.4,8.4,8.4,7.5,8.6,8.7,7.9,7.7,8.5
Central African Republic,41.3,40.0,40.0,39.9,43.1,43.1,41.8,41.8,41.3
Chad,37.7,38.8,38.8,36.8,39.6,39.6,37.9,37.9,37.4
Chile,18.1,18.1,18.1,18.5,18.2,17.1,15.6,14.9,19.8
China,22.8,22.1,22.1,,,,,14.2,15.6
Colombia,27.5,30.1,26.6,25.7,24.1,23.7,22.6,22.9,22.4
Comoros,42.8,,,,45.9,44.8,44.2,44.2,44.2
Congo,31.3,30.9,30.9,30.6,26.2,24.6,22.6,22.6,24.9
Congo (Democratic Republic of the),34.7,39.3,39.3,36.8,35.3,31.7,30.7,30.2,30.9
Costa Rica,19.9,19.7,20.5,19.1,19.0,18.2,17.8,17.3,18.8
Croatia,14.7,14.6,14.6,11.1,8.9,8.9,8.9,8.8,8.1
Cyprus,11.5,10.0,11.3,10.9,10.6,10.8,13.1,11.3,9.6
Czechia,5.9,4.9,5.3,5.5,5.4,5.3,5.4,5.2,4.5
Côte d'Ivoire,35.3,38.5,38.5,37.9,37.6,37.4,35.6,36.3,35.0
Denmark,6.4,5.9,6.2,6.8,7.1,7.0,7.7,7.4,6.0
Djibouti,36.4,35.1,35.2,33.7,33.7,33.7,33.2,35.2,
Dominican Republic,24.6,25.5,26.8,23.4,23.4,21.6,22.0,20.9,21.4
Ecuador,20.1,25.0,25.0,22.4,21.8,20.2,20.0,19.4,19.5
Egypt,26.4,23.0,23.0,22.8,22.8,28.2,28.3,28.3,28.8
El Salvador,27.2,26.2,26.2,26.2,26.2,22.0,22.3,21.9,21.6
Estonia,9.6,7.7,8.8,8.5,8.9,8.6,9.4,8.5,7.1
Eswatini (Kingdom of),35.7,35.2,35.2,33.1,33.1,33.1,29.4,29.4,29.0
Ethiopia,33.7,31.5,31.5,28.0,28.0,25.5,23.7,27.3,27.2
Fiji,,,,15.1,15.1,15.1,,,
Finland,7.4,5.5,5.9,5.5,5.5,5.7,8.4,5.5,5.2
France,9.2,9.1,9.0,8.9,8.6,9.3,12.1,10.1,9.1
Gabon,20.4,19.1,19.1,24.0,24.0,23.8,22.3,22.3,22.5
Gambia,38.8,,,,,,36.4,36.4,36.4
