Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.298,0.304,0.312,0.308,0.303,0.327,0.331,0.335,0.33899999999999997,0.34299999999999997,0.345,0.34700000000000003,0.37799999999999995,0.387,0.4,0.41,0.419,0.431,0.436,0.447,0.46399999999999997,0.465,0.479,0.485,0.488,0.49,0.491,0.493,0.496
Albania,0.644,0.625,0.608,0.611,0.617,0.629,0.639,0.639,0.649,0.66,0.667,0.6729999999999999,0.68,0.687,0.6920000000000001,0.7020000000000001,0.7090000000000001,0.718,0.7240000000000001,0.7290000000000001,0.74,0.759,0.7709999999999999,0.7809999999999999,0.787,0.7879999999999999,0.7879999999999999,0.789,0.7909999999999999
Algeria,0.578,0.5820000000000001,0.589,0.593,0.597,0.602,0.61,0.619,0.629,0.638,0.6459999999999999,0.655,0.6659999999999999,0.6759999999999999,0.685,0.6940000000000001,0.6990000000000001,0.708,0.711,0.72,0.73,0.738,0.737,0.746,0.7490000000000001,0.7509999999999999,0.755,0.758,0.759
Andorra,,,,,,,,,,,0.759,0.767,0.78,0.82,0.826,0.8190000000000001,0.8290000000000001,0.8290000000000001,0.831,0.83,0.828,0.8270000000000001,0.8490000000000001,0.846,0.853,0.85,0.8540000000000001,0.852,0.857
Angola,,,,,,,,,,0.384,0.39399999999999996,0.40399999999999997,0.419,0.428,0.44,0.45299999999999996,0.466,0.48200000000000004,0.494,0.508,0.51,0.525,0.537,0.547,0.557,0.565,0.57,0.5760000000000001,0.574
Antigua and Barbuda,,,,,,,,,,,,,,,,0.773,0.779,0.784,0.7829999999999999,0.7759999999999999,0.772,0.764,0.767,0.767,0.767,0.77,0.772,0.774,0.7759999999999999
Argentina,0.7070000000000001,0.7140000000000001,0.7190000000000001,0.725,0.7290000000000001,0.731,0.738,0.746,0.752,0.763,0.77,0.775,0.77,0.775,0.775,0.777,0.8009999999999999,0.8059999999999999,0.81,0.81,0.818,0.823,0.823,0.8240000000000001,0.825,0.828,0.828,0.8320000000000001,0.83
Armenia,0.633,0.629,0.585,0.59,0.6,0.604,0.614,0.625,0.637,0.644,0.649,0.653,0.6629999999999999,0.672,0.6809999999999999,0.6940000000000001,0.708,0.7240000000000001,0.727,0.7240000000000001,0.7290000000000001,0.733,0.737,0.743,0.746,0.748,0.7509999999999999,0.758,0.76
Australia,0.866,0.867,0.868,0.872,0.875,0.883,0.8859999999999999,0.889,0.892,0.895,0.898,0.9,0.903,0.904,0.907,0.902,0.905,0.9079999999999999,0.922,0.9229999999999999,0.9259999999999999,0.9279999999999999,0.932,0.9259999999999999,0.929,0.9329999999999999,0.935,0.937,0.938
Austria,0.795,0.799,0.805,0.809,0.813,0.8170000000000001,0.82,0.8240000000000001,0.828,0.8340000000000001,0.838,0.8490000000000001,0.838,0.8420000000000001,0.8490000000000001,0.855,0.861,0.8809999999999999,0.884,0.8859999999999999,0.895,0.897,0.899,0.8959999999999999,0.904,0.9059999999999999,0.909,0.912,0.914
Azerbaijan,,,,,,0.612,0.612,0.618,0.627,0.634,0.6409999999999999,0.649,0.6579999999999999,0.667,0.674,0.6809999999999999,0.7070000000000001,0.7120000000000001,0.721,0.7340000000000001,0.732,0.731,0.736,0.741,0.746,0.7490000000000001,0.7490000000000001,0.752,0.754
Bahamas,,,,,,,,,,,0.787,0.7879999999999999,0.79,0.789,0.79,0.7909999999999999,0.794,0.794,0.794,0.7929999999999999,0.795,0.795,0.797,0.797,0.7959999999999999,0.799,0.8,0.804,0.805
Bahrain,0.736,0.755,0.7559999999999999,0.764,0.768,0.775,0.779,0.7809999999999999,0.784,0.7859999999999999,0.792,0.792,0.792,0.7929999999999999,0.792,0.792,0.7929999999999999,0.7959999999999999,0.7959999999999999,0.794,0.7959999999999999,0.7979999999999999,0.8,0.807,0.81,0.8340000000000001,0.8390000000000001,0.8390000000000001,0.838
Bangladesh,0.38799999999999996,0.395,0.40299999999999997,0.41100000000000003,0.419,0.42700000000000005,0.436,0.444,0.45299999999999996,0.462,0.47,0.479,0.485,0.49200000000000005,0.499,0.506,0.514,0.521,0.524,0.535,0.5489999999999999,0.5589999999999999,0.5670000000000001,0.5720000000000001,0.5720000000000001,0.588,0.599,0.609,0.614
