Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,,,,,,,,,,,,,,,,,,,59.7,63.1,61.4,56.6,54.2,53.0,49.2,54.7
Albania,70.0,70.0,70.0,70.0,70.0,70.0,70.0,55.0,55.0,55.0,55.0,54.3,64.1,55.6,67.0,68.0,67.1,78.2,81.0,78.1,70.6,67.6,79.3,69.1,69.3,65.7
Algeria,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,74.8,73.7,73.6,72.5,71.2,69.4,66.3,65.2,66.3,66.6,62.1,62.1,68.1,61.6,63.0
Angola,40.0,40.0,40.0,40.0,40.0,40.0,,,,,,26.8,35.3,36.7,43.6,43.4,41.4,45.5,43.1,47.5,47.4,50.3,58.5,58.3,55.7,57.7
Argentina,85.0,85.0,85.0,85.0,85.0,85.0,85.0,70.0,70.0,70.0,70.0,62.9,63.9,63.7,62.1,62.1,62.4,61.0,60.1,53.9,52.8,56.0,57.3,56.2,56.4,60.2
Armenia,,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,77.6,80.8,81.3,83.7,83.4,82.4,87.8,87.6,83.1,82.7,77.5,78.5,78.7,78.3,81.0
Australia,70.0,70.0,70.0,70.0,70.0,70.0,70.0,85.0,85.0,85.0,85.0,90.9,89.1,90.3,90.5,90.3,90.1,91.9,95.5,94.6,94.1,89.4,89.3,89.1,88.3,87.8
Austria,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,82.0,81.7,80.9,78.6,73.6,72.8,70.3,73.6,76.3,78.0,79.4,76.9,75.5,74.9,73.0
Azerbaijan,,40.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,56.7,58.0,62.6,74.6,74.6,72.9,68.6,69.2,73.5,74.5,70.3,71.5,72.3,69.5,80.8
Bahrain,100.0,100.0,100.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,80.0,80.0,80.0,79.6,77.8,77.4,76.5,75.8,76.3,72.5,71.9,69.4,75.5,71.4,70.5
Bangladesh ,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,58.2,59.1,56.5,62.9,59.4,65.0,68.5,68.0,70.8,62.2,52.6,53.4,52.1,50.9,52.3
Barbados,,70.0,70.0,70.0,70.0,70.0,85.0,85.0,85.0,85.0,85.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,74.8,72.8,71.6,70.2,69.6,70.5,69.8,69.4
Belarus,70.0,70.0,70.0,55.0,55.0,55.0,40.0,40.0,40.0,40.0,40.0,54.4,55.7,58.8,63.7,72.1,70.6,71.3,75.2,73.4,72.0,69.0,71.3,74.1,75.0,76.4
Belgium,,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,90.7,92.6,93.7,93.2,92.9,92.6,92.3,91.6,89.9,90.7,85.4,82.0,80.6,78.1,75.2
Belize,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,77.4,77.4,76.5,75.5,74.1,73.7,73.6,72.6,71.6,59.1,63.3,62.7,62.9,61.8,60.9
Benin,,70.0,70.0,70.0,70.0,70.0,70.0,55.0,55.0,55.0,55.0,48.0,48.5,48.1,43.8,42.3,43.0,42.9,45.4,51.0,55.2,51.3,51.9,60.7,62.4,58.0
Bhutan,,,,,,,,,,,,,,,61.7,60.5,59.8,59.7,60.5,59.4,61.9,65.2,72.6,72.5,68.7,68.2
Bolivia,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,60.9,59.9,59.0,58.5,57.3,57.2,56.5,55.8,53.4,53.7,58.8,58.9,59.2,58.8,58.3
Bosnia and Herzegovina,,,,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,55.7,55.4,57.2,59.9,61.3,60.4,55.2,54.3,55.5,53.5,54.6,47.4,49.3,49.7,45.7
Botswana,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,85.0,85.0,85.0,69.6,66.1,69.1,71.2,70.5,70.5,69.1,69.0,68.5,66.8,66.4,68.8,69.5,68.7,69.3
Brazil,55.0,55.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,53.5,54.2,54.0,54.4,54.5,54.3,53.7,53.0,53.8,53.6,61.4,61.3,58.6,57.9,60.5
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,68.2,68.3,71.3,76.6,79.9,80.2,84.1
Bulgaria,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,70.5,70.3,68.4,73.5,77.8,75.8,72.7,73.6,73.5,68.5,66.9,66.7,64.3,62.7,62.6
Burkina Faso,,40.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,39.2,43.8,50.7,58.7,60.0,61.5,62.8,61.2,60.7,49.6,46.3,46.4,51.5,51.6,47.6
Burma,,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,28.3,28.7,32.6,50.1,54.2,52.8,53.1
Burundi,,,55.0,55.0,55.0,55.0,,,,,,37.0,49.6,35.5,34.4,37.8,36.8,46.1,58.4,59.8,61.4,54.2,53.5,53.0,50.3,55.1
Cabo Verde,,55.0,55.0,55.0,55.0,55.0,70.0,70.0,85.0,85.0,85.0,55.7,55.7,55.3,57.1,63.3,64.8,59.0,58.9,63.8,61.8,61.3,65.5,64.6,65.2,58.5
Cambodia,,,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,43.0,43.5,43.0,42.7,39.9,39.5,40.7,39.4,36.6,29.2,32.3,29.6,30.6,29.9,31.2
Cameroon,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,40.3,41.0,40.3,39.3,37.2,44.1,47.1,46.8,45.0,41.6,46.9,44.3,44.0,44.4,46.0
Canada,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,96.9,96.8,96.7,96.5,96.5,96.4,96.6,91.7,89.3,89.0,81.8,81.9,81.8,81.9,81.7
Central African Republic,,,,,,,,55.0,55.0,55.0,55.0,42.1,41.1,40.8,39.5,37.5,36.8,37.3,35.2,33.9,27.2,28.0,27.2,27.2,24.2,24.3
Chad,,,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,34.0,49.0,34.6,35.7,32.7,25.3,24.9,25.2,24.9,27.1,30.9,27.5,29.4,28.1,26.8
Chile,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,70.0,70.0,70.0,68.1,68.2,67.8,66.3,64.8,67.2,68.6,70.5,69.3,69.3,72.1,72.3,72.4,76.6,75.0
China,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,43.1,46.9,50.3,51.6,49.7,49.8,46.4,48.0,49.7,52.1,54.2,53.9,54.9,56.2,76.8
Colombia,85.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,72.1,71.8,72.5,77.4,83.6,86.1,89.4,90.2,85.2,81.5,78.2,77.1,78.6,71.4,71.3
Comoros,,,,,,,,,,,,,,,46.5,43.7,42.9,41.5,44.7,49.4,47.3,49.6,58.5,57.5,57.2,47.8
Costa Rica ,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,59.4,59.0,60.0,60.3,59.3,58.2,57.6,58.3,64.9,64.5,68.6,68.1,68.3,67.2,66.5
Croatia,,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,54.5,54.2,58.5,59.9,61.5,65.2,63.4,63.0,61.4,55.8,60.3,58.2,58.9,60.7,53.6
