Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,48.9,51.3,51.5,54.7
Albania,49.7,53.8,54.8,53.9,53.4,53.6,56.6,56.8,56.8,58.5,57.8,60.3,61.4,62.4,63.7,66.0,64.0,65.1,65.2,66.9,65.7,65.9,64.4,64.5,66.5,66.9
Algeria,55.7,54.5,54.9,55.8,57.2,56.8,57.3,61.0,57.7,58.1,53.2,55.7,55.4,56.2,56.6,56.9,52.4,51.0,49.6,50.8,48.9,50.1,46.5,44.7,46.2,46.9
Angola,27.4,24.4,24.2,24.9,23.7,24.3,,,,,,43.5,44.7,46.9,47.0,48.4,46.2,46.7,47.3,47.7,47.9,48.9,48.5,48.6,50.6,52.2
Argentina,68.0,74.7,73.3,70.9,70.6,70.0,68.6,65.7,56.3,53.9,51.7,53.4,54.0,54.2,52.3,51.2,51.7,48.0,46.7,44.6,44.1,43.8,50.4,52.3,52.2,53.1
Armenia,,42.2,46.7,49.6,56.4,63.0,66.4,68.0,67.3,70.3,69.8,70.6,68.6,69.9,69.9,69.2,69.7,68.8,69.4,68.9,67.1,67.0,70.3,68.7,67.7,70.6
Australia,74.1,74.0,75.5,75.6,76.4,77.1,77.4,77.3,77.4,77.9,79.0,79.9,81.1,82.2,82.6,82.6,82.5,83.1,82.6,82.0,81.4,80.3,81.0,80.9,80.9,82.6
Austria,70.0,68.9,65.2,65.4,64.0,68.4,68.1,67.4,67.6,67.6,68.8,71.1,71.6,71.4,71.2,71.6,71.9,70.3,71.8,72.4,71.2,71.7,72.3,71.8,72.0,73.3
Azerbaijan,,30.0,34.0,43.1,47.4,49.8,50.3,53.3,54.1,53.4,54.4,53.2,54.6,55.3,58.0,58.8,59.7,58.9,59.7,61.3,61.0,60.2,63.6,64.3,65.4,69.3
Bahrain,76.2,76.4,76.1,75.6,75.2,75.7,75.9,75.6,76.3,75.1,71.2,71.6,71.2,72.2,74.8,76.3,77.7,75.2,75.5,75.1,73.4,74.3,68.5,67.7,66.4,66.3
Bangladesh ,40.9,51.1,49.9,52.0,50.0,48.9,51.2,51.9,49.3,50.0,47.5,52.9,46.7,44.2,47.5,51.1,53.0,53.2,52.6,54.1,53.9,53.3,55.0,55.1,55.6,56.4
Barbados,,62.3,64.5,67.9,66.7,69.5,71.5,73.6,71.3,69.4,70.1,71.9,70.0,71.3,71.5,68.3,68.5,69.0,69.3,68.3,67.9,68.3,54.5,57.0,64.7,61.4
