Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,50.79999923706055,51.20000076293945,51.599998474121094,51.91999816894531,52.2400016784668,52.560001373291016,52.880001068115234,53.20000076293945,53.0,52.79999923706055,52.599998474121094,52.400001525878906
Albania,,,65.80000305175781,,66.19999694824219,66.4000015258789,66.68000030517578,66.95999908447266,67.23999786376953,67.5199966430664,67.80000305175781,68.0999984741211,68.4000015258789,68.69999694824219,69.0
Algeria,,,,,,64.5,64.66000366210938,64.81999969482422,,65.13999938964844,,65.5,65.69999694824219,65.9000015258789,66.0999984741211
Angola,,,,,,,52.5,53.20000076293945,53.900001525878906,54.599998474121094,,,,,
Argentina,,66.81999969482422,66.94000244140625,67.05999755859375,67.18000030517578,67.30000305175781,67.4800033569336,67.66000366210938,67.83999633789062,68.0199966430664,68.19999694824219,68.4000015258789,68.5999984741211,68.80000305175781,69.0
Armenia,,64.80000305175781,64.9000015258789,65.0,65.0999984741211,65.19999694824219,65.36000061035156,65.5199966430664,65.68000030517578,65.83999633789062,66.0,66.30000305175781,66.5999984741211,66.9000015258789,
Australia,71.4000015258789,,71.72000122070312,71.87999725341797,,72.19999694824219,72.30000305175781,72.4000015258789,72.5,72.5999984741211,72.69999694824219,73.0,73.30000305175781,73.5999984741211,73.9000015258789
Austria,,70.76000213623047,,71.08000183105469,,71.4000015258789,71.54000091552734,71.68000030517578,71.81999969482422,71.95999908447266,72.0999984741211,72.4000015258789,72.69999694824219,73.0,73.30000305175781
Azerbaijan,,61.880001068115234,62.2599983215332,62.63999938964844,63.02000045776367,63.400001525878906,63.63999938964844,63.880001068115234,64.12000274658203,64.36000061035156,64.5999984741211,64.9000015258789,65.19999694824219,65.5,65.80000305175781
Bahrain,,,,,65.94000244140625,66.30000305175781,66.58000183105469,66.86000061035156,67.13999938964844,67.41999816894531,67.69999694824219,68.0999984741211,68.5,,
Bangladesh,,59.02000045776367,59.439998626708984,59.86000061035156,60.279998779296875,60.70000076293945,61.119998931884766,61.540000915527344,61.959999084472656,62.380001068115234,62.79999923706055,63.29999923706055,63.79999923706055,64.30000305175781,64.80000305175781
Belarus,,61.099998474121094,61.400001525878906,61.70000076293945,62.0,62.29999923706055,62.880001068115234,63.459999084472656,64.04000091552734,64.62000274658203,65.19999694824219,65.5,65.80000305175781,66.0999984741211,66.4000015258789
Belgium,69.9000015258789,,70.26000213623047,70.44000244140625,,70.80000305175781,70.91999816894531,71.04000091552734,71.16000366210938,71.27999877929688,71.4000015258789,71.5999984741211,71.80000305175781,72.0,72.19999694824219
Belize,,,61.599998474121094,,,,,,,62.220001220703125,,,,,
